id,rectype,recmass,recfalltype,reclat,reclong
57168,Valid,190,Fell,17.71067,-11.3715
57167,Valid,3599,Fell,17.17493,-11.34133
5121,Valid,5460,Fell,54.56667,-6.33333
5128,Valid,762,Fell,40.5,-80.08333
5133,Valid,39000,Fell,50.6,16.3
5134,Valid,1500,Fell,50.66694,8.18361
5135,Valid,7250,Fell,53.4,9.1
5140,Valid,219,Fell,52.13333,59.31667
5156,Valid,303000,Fell,53.9,-112.88333
30448,Valid,5300,Fell,39.77978,64.60035
5163,Valid,2250,Fell,,
48653,Valid,324,Fell,-31.35,129.19
5165,Valid,357,Fell,10.01667,9.58333
5169,Valid,120000,Fell,5,48
5175,Valid,1504,Fell,37.62194,-82.23722
5177,Valid,25000,Fell,40.2,29.23333
5178,Valid,5000,Fell,46.45,25.78333
5181,Valid,1500,Fell,26.78333,82.83333
5183,Valid,29000,Fell,27.08333,84.08333
48654,Valid,41000,Fell,52.996,-109.84817
5185,Valid,25000,Fell,37.98333,-1.16667
5186,Valid,48500,Fell,35.5,-93.5
5187,Valid,212,Fell,43.83889,20.33333
45976,Valid,478,Fell,3.405,-76.51
5200,Valid,2400,Fell,11.75,122.33333
5249,Valid,23680,Fell,-7.03333,-40.16667
5250,Valid,4000,Fell,39.8,26.6
5251,Valid,945,Fell,41.25,1.66667
5252,Valid,34000,Fell,43.38333,-5.15
5253,Valid,1400,Fell,38.47028,-105.24139
5260,Valid,2300,Fell,37.26667,-89.58333
5264,Valid,750,Fell,-30.88333,-64.55
45817,Valid,342,Fell,-16.66444,-69.04389
5265,Valid,8,Fell,38.5,27
5291,Valid,7300,Fell,36.08333,-78.06667
5292,Valid,,Fell,43.35,11.5
5293,Valid,94,Fell,44.38333,-68.75
5295,Valid,15000,Fell,39.8,16.2
5296,Valid,1360,Fell,36.5,-79.25
5306,Valid,1025,Fell,26.46667,-105.23333
5307,Valid,45.6,Fell,43.2,-96.91667
5308,Valid,6460,Fell,45.08333,8.3
5313,Valid,3700,Fell,28.53333,109.31667
5314,Valid,0.5,Fell,25.36667,81.66667
5315,Valid,8200,Fell,25.85,83.48333
5316,Valid,18300,Fell,-30.78333,-58.05
5320,Valid,8800,Fell,20.26667,76.01667
5321,Valid,1100,Fell,27.28333,79.05
5322,Valid,1810,Fell,29.08333,111.75
5325,Valid,31500,Fell,46.68333,1.05
5328,Valid,4300,Fell,36.16667,-87.33333
5329,Valid,27000,Fell,47.93333,1.56667
5330,Valid,12000,Fell,29.48333,75.5
5331,Valid,4000,Fell,47.71667,5.36667
5332,Valid,30000,Fell,47.93333,2.91667
5334,Valid,2945,Fell,41.93333,-7.46667
5338,Valid,2936,Fell,-3.66667,32.5
57165,Valid,100000,Fell,54.81667,61.11667
47347,Valid,100000,Fell,23.69639,-5.01472
5339,Valid,6000,Fell,53.7,30.1
5340,Valid,8400,Fell,35.03333,-81.88333
5341,Valid,705,Fell,46.55,6.81667
5342,Valid,1700,Fell,50.83333,34
5344,Valid,72,Fell,14.5,76.5
5345,Valid,367,Fell,17.9,101.63333
5349,Valid,303,Fell,40.93333,-79.73333
5355,Valid,3920,Fell,-10.05944,33.395
5356,Valid,,Fell,-17.35,13.96667
5357,Valid,4000,Fell,47.47083,0.97667
5364,Valid,1600,Fell,-6.95,108.1
5374,Valid,1455,Fell,32.1025,-81.87278
5383,Valid,48.6,Fell,,
5395,Valid,104000,Fell,44.9,-90.28333
5397,Valid,5200,Fell,-33.13333,19.38333
5401,Valid,469,Fell,43.76111,-84.50778
5403,Valid,5000,Fell,42.53333,12.61667
5418,Valid,20350,Fell,-19.85,-47.55
5451,Valid,1200,Fell,21.16667,-100.86667
5465,Valid,1460,Fell,10.2,76.26667
5470,Valid,78.4,Fell,35.95,-97.58333
5474,Valid,3650,Fell,-27.7,27.3
5476,Valid,167,Fell,35.63333,-78.13333
5477,Valid,4255,Fell,54.61667,-6.21667
5496,Valid,17000,Fell,36.83333,-84.35
5500,Valid,6000,Fell,38.4,-84.25
5504,Valid,18000,Fell,35.61667,8.83333
5511,Valid,5650,Fell,26.91667,83.96667
5513,Valid,1064,Fell,-28.2,24.56667
5514,Valid,2000,Fell,34.4,-87.06667
6603,Valid,100,Fell,49.86667,8.65
